,구별,소계,2013년도 이전,2014년,2015년,2016년,최근 증가율
0,강남구,2780,1292,430,584,932,150.61919504643964
1,강동구,773,379,99,155,377,166.49076517150397
2,강북구,748,369,120,138,204,125.20325203252031
3,강서구,884,388,258,184,81,134.7938144329897
4,관악구,1496,846,260,390,613,149.29078014184398
5,광진구,707,573,78,53,174,53.22862129144852
6,구로구,1561,1142,173,246,323,64.97373029772329
7,금천구,1015,674,51,269,354,100.0
8,노원구,1265,542,57,451,516,188.929889298893
9,도봉구,485,238,159,42,386,246.6386554621849
10,동대문구,1294,1070,23,198,579,74.76635514018692
11,동작구,1091,544,341,103,314,139.33823529411765
12,마포구,574,314,118,169,379,212.1019108280255
13,서대문구,962,844,50,68,292,48.5781990521327
14,서초구,1930,1406,157,336,398,63.37126600284495
15,성동구,1062,730,91,241,265,81.78082191780823
16,성북구,1464,1009,78,360,204,63.62735381565907
17,송파구,618,529,21,68,463,104.34782608695652
18,양천구,2034,1843,142,30,467,34.67173087357569
19,영등포구,904,495,214,195,373,157.97979797979798
20,용산구,1624,1368,218,112,398,53.216374269005854
21,은평구,1873,1138,224,278,468,85.23725834797891
22,종로구,1002,464,314,211,630,248.92241379310346
23,중구,671,413,190,72,348,147.6997578692494
24,중랑구,660,509,121,177,109,79.96070726915521
